id,state,c_code,country,crop,year,harv_area_ha,yield,production_ha,statearea_ha,perimeter_km,lon,lat
"34518,Ribaue,MOZ,Mozambique,""Rice, Paddy"",2000,468.000000000000000,0.649572649570000,304.000000000000000,644172.1790000000,406.0220000000,38.3132959770,-15.0317619690"
"34519,Ribaue,MOZ,Mozambique,""Rice, Paddy"",2000,468.000000000000000,0.649572649570000,304.000000000000000,644172.1790000000,406.0220000000,38.3598081240,-15.0318977270"
"34520,Ribaue,MOZ,Mozambique,""Rice, Paddy"",2000,468.000000000000000,0.649572649570000,304.000000000000000,644172.1790000000,406.0220000000,38.4063207240,-15.0320239690"
"34521,Ribaue,MOZ,Mozambique,""Rice, Paddy"",2000,468.000000000000000,0.649572649570000,304.000000000000000,644172.1790000000,406.0220000000,38.4528337430,-15.0321406950"
"34522,Ribaue,MOZ,Mozambique,""Rice, Paddy"",2000,468.000000000000000,0.649572649570000,304.000000000000000,644172.1790000000,406.0220000000,38.4993471500,-15.0322479040"
"34523,Ribaue,MOZ,Mozambique,""Rice, Paddy"",2000,468.000000000000000,0.649572649570000,304.000000000000000,644172.1790000000,406.0220000000,38.5458609100,-15.0323455950"
"34524,Ribaue,MOZ,Mozambique,""Rice, Paddy"",2000,468.000000000000000,0.649572649570000,304.000000000000000,644172.1790000000,406.0220000000,38.5923749920,-15.0324337690"
"34525,Ribaue,MOZ,Mozambique,""Rice, Paddy"",2000,468.000000000000000,0.649572649570000,304.000000000000000,644172.1790000000,406.0220000000,38.6388893620,-15.0325124250"
"34526,Ribaue,MOZ,Mozambique,""Rice, Paddy"",2000,468.000000000000000,0.649572649570000,304.000000000000000,644172.1790000000,406.0220000000,38.6854039880,-15.0325815620"
"34527,Ribaue,MOZ,Mozambique,""Rice, Paddy"",2000,468.000000000000000,0.649572649570000,304.000000000000000,644172.1790000000,406.0220000000,38.7319188360,-15.0326411820"
"34784,Ribaue,MOZ,Mozambique,""Rice, Paddy"",2000,468.000000000000000,0.649572649570000,304.000000000000000,644172.1790000000,406.0220000000,37.7084219540,-15.0743257660"
"34785,Ribaue,MOZ,Mozambique,""Rice, Paddy"",2000,468.000000000000000,0.649572649570000,304.000000000000000,644172.1790000000,406.0220000000,37.7549350220,-15.0745860000"
"34786,Ribaue,MOZ,Mozambique,""Rice, Paddy"",2000,468.000000000000000,0.649572649570000,304.000000000000000,644172.1790000000,406.0220000000,37.8014489710,-15.0748366950"
"34787,Ribaue,MOZ,Mozambique,""Rice, Paddy"",2000,468.000000000000000,0.649572649570000,304.000000000000000,644172.1790000000,406.0220000000,37.8479637690,-15.0750778520"
