alloc_key,NAME,lon,lat,statearea,maize,tavg,srad,prec,wind,PHIHOX,BDRICM,BLD,CLYPPT,TEXMHT,ORCDRC,DRAINFAO,EVI,NDVI,slope,elevation
8034,Angonia,34.0034806729,-14.5723930874,282167.6502335962,37275.0,19.858335,17286.166,80.25,1.5,60.0,100.0,1370.0,16.0,9.0,11.0,5.0,0.2353,0.46040000000000003,1.2165445,1206.0
8035,Angonia,34.0959676269,-14.5743562854,282167.6502335962,37275.0,19.908333,17290.5,79.666664,1.6,60.0,129.0,1340.0,21.0,6.0,14.0,5.0,0.2399,0.4887,1.7393798,1225.0
8037,Angonia,34.2809823761,-14.5781736276,282167.6502335962,37275.0,19.616667,17298.75,79.333336,1.6,61.0,147.0,1360.0,20.0,6.0,13.0,5.0,0.2257,0.43620000000000003,0.75204325,1273.0
8038,Angonia,34.3735096602,-14.580027723299999,282167.6502335962,37275.0,19.158333,17294.166,81.25,1.7,61.0,102.0,1360.0,17.0,9.0,13.0,5.0,0.2233,0.4359,1.4232656,1362.0
8039,Angonia,34.466049876199996,-14.581845404000001,282167.6502335962,37275.0,19.066668,17321.25,82.75,1.6,59.0,124.0,1410.0,22.0,6.0,15.0,5.0,0.18180000000000002,0.3759,1.2371068,1375.0
8174,Angonia,34.0014393148,-14.662462618,282167.6502335962,37275.0,20.466665,17318.584,79.666664,1.6,60.0,122.0,1350.0,15.0,9.0,12.0,5.0,0.24730000000000002,0.4747,1.2093892,1087.0
8176,Angonia,34.1865017732,-14.666377754200001,282167.6502335962,37275.0,20.416666,17364.416,78.916664,1.5,62.0,90.0,1400.0,12.0,9.0,11.0,5.0,0.22,0.44260000000000005,1.7212105,1140.0
8179,Angonia,34.4641958403,-14.6719758852,282167.6502335962,37275.0,19.491667,17300.166,82.583336,1.4,59.0,104.0,1410.0,22.0,6.0,13.0,5.0,0.15230000000000002,0.328,0.8890263,1320.0
8315,Angonia,34.0919460102,-14.7545196974,282167.6502335962,37275.0,20.391666,17341.834,79.916664,1.5,58.0,116.0,1330.0,21.0,6.0,13.0,5.0,0.2649,0.4878,1.294778,1146.0
8317,Angonia,34.277111079499996,-14.758386288599999,282167.6502335962,37275.0,20.550001,17401.084,79.833336,1.2,63.0,107.0,1420.0,13.0,9.0,12.0,5.0,0.2371,0.44570000000000004,1.1713115,1109.0
8318,Angonia,34.3697136009,-14.7602643054,282167.6502335962,37275.0,20.116667,17367.416,81.0,1.3,60.0,120.0,1340.0,20.0,9.0,16.0,3.0,0.2159,0.4461,0.3193249,1186.0
8455,Angonia,34.0899145871,-14.8445999476,282167.6502335962,37275.0,20.675,17340.75,80.166664,1.3,58.0,146.0,1340.0,8.0,11.0,12.0,5.0,0.2831,0.5348,1.897776,1058.0
8457,Angonia,34.2751555857,-14.848491192400001,282167.6502335962,37275.0,20.966665,17344.416,80.75,1.3,59.0,130.0,1390.0,14.0,9.0,11.0,5.0,0.2849,0.4979,1.492994,1019.0
2495,Mueda,39.6516071871,-11.0081126246,1282102.5835015413,3108.0,25.133331,17756.5,90.583336,1.2,57.0,174.0,1390.0,24.0,6.0,30.0,3.0,0.4071,0.663,4.1723657,50.0
21200,Funhalouro,34.3295913258,-23.052221122,1352285.9645215438,776.0,24.375002,17545.334,54.0,1.5,63.0,173.0,1490.0,15.0,9.0,7.0,5.0,0.3225,0.5593,0.03864545,99.0
3897,Muidumbe,39.8373309811,-11.911940411,172491.9358886979,2167.0,24.074999,17556.084,92.166664,1.3,60.0,167.0,1410.0,28.0,6.0,34.0,5.0,0.45170000000000005,0.7223,6.003585,424.0
3760,Muidumbe,40.1124200516,-11.8205699256,172491.9358886979,2167.0,25.841667,17932.25,86.416664,1.5,64.0,164.0,1310.0,31.0,6.0,18.0,4.0,0.3175,0.5111,0.11049534,38.0
10848,Morrumbala,35.26714777,-16.400901972699998,1310771.4057852987,31034.0,25.408333,17100.166,75.0,1.3,62.0,136.0,1430.0,23.0,6.0,9.0,5.0,0.3919,0.6175,1.4228666,149.0
10989,Morrumbala,35.3589235893,-16.4927599863,1310771.4057852987,31034.0,25.266668,17049.25,78.75,1.2,61.0,109.0,1380.0,25.0,6.0,17.0,5.0,0.3039,0.5770000000000001,0.70599306,156.0
11127,Morrumbala,35.1701475816,-16.5796136785,1310771.4057852987,31034.0,25.533333,17250.416,64.833336,1.3,64.0,165.0,1390.0,32.0,6.0,20.0,2.0,0.3145,0.5810000000000001,0.0,46.0
11133,Morrumbala,35.7315165573,-16.5891976245,1310771.4057852987,31034.0,22.033333,16822.0,125.166664,1.3,56.0,146.0,1390.0,33.0,6.0,24.0,5.0,0.45270000000000005,0.7621,2.8402998,515.0
