Pixel,State,lon,lat,Crop,Fraction,CropArea
11403,Angonia,34.4009,-14.5986,Maize,0.61881495,61.881495
8076,Manhica,32.86213,-25.26032,Maize,1.42536767,142.536767
6599,Nhamatanda,34.24202,-19.13826,Maize,0.38494255,38.494255
25237,Chiuta,33.20253,-15.79599,Maize,1.90E-07,1.90E-05
10077,Moma,39.14252,-16.8318,Maize,0.59337487,59.337487
35069,Cheringoma,34.77068,-18.48386,Maize,0.03184847,3.184847
236,Ribaue,38.02615,-14.75951,Maize,1.76218626,176.218626
38087,Chibabava,33.8392,-20.17235,Maize,0.10329625,10.329625
33307,Barue,33.19742,-17.80305,Maize,0.62044875,62.044875
16605,Moatize,34.36052,-16.01321,Maize,0.38832514,38.832514
32616,Mopeia,35.5051,-17.68662,Maize,0.50153798,50.153798
23290,Alto_Molocue,37.65927,-15.48983,Maize,0.36688127,36.688127
14795,Morrumbala,35.86857,-17.35871,Maize,0.32783821,32.783821
12337,Funhalouro,33.96275,-22.43732,Maize,0.07056515,7.056515
23006,Alto_Molocue,37.4366,-15.3528,Maize,0.51740531,51.740531
27962,Ile,37.44693,-16.43739,Maize,0.46449071,46.449071
26127,Ile,37.21945,-15.69458,Maize,0.00022435,0.022435
42891,Pebane,38.03447,-16.92901,Maize,0.35722713,35.722713
9175,Mecuburi,39.00171,-14.77964,Maize,0.00070799,0.070799
17268,Chifunde,32.86869,-14.1495,Maize,1.1455692,114.55692
6173,Sussundenga,33.08427,-19.44656,Maize,1.98182922,198.182922
