uid,BASICA_AREA,Zone,total_volume_prod,geometry
566.0,0.9,36.0,600,POINT (34.44348631991026 -15.35196229737908)
569.0,0.17199999999999999,36.0,200,POINT (34.35809273974343 -15.3308780511564)
575.0,0.74880000000000002,36.0,400,POINT (34.35907778748454 -15.33197478576364)
580.0,0.41820000000000002,36.0,400,POINT (34.3519611918171 -15.33475674775952)
584.0,0.31280000000000002,36.0,1400,POINT (34.35543753893376 -15.33509721561116)
588.0,0.5,36.0,400,POINT (34.3545091901585 -15.33412666367273)
591.0,0.51839999999999997,36.0,500,POINT (34.35157652440042 -15.33577142091326)
593.0,0.32040000000000002,36.0,1000,POINT (34.35303650582031 -15.34842589498166)
596.0,0.84740000000000004,36.0,1500,POINT (34.35551401871915 -15.3455094090669)
600.0,0.31359999999999999,36.0,450,POINT (34.35817564142184 -15.34226638416697)
605.0,0.75719999999999998,36.0,2000,POINT (34.35332926123974 -15.33458575932786)
610.0,0.2412,36.0,400,POINT (34.35269194455081 -15.32962733173176)
613.0,0.36859999999999998,36.0,400,POINT (34.34860374492336 -15.32681387976065)
617.0,0.33660000000000001,36.0,300,POINT (34.3453722828995 -15.32833381338347)
621.0,0.11559999999999999,36.0,100,POINT (34.34330100305621 -15.3379726163843)
624.0,0.28499999999999998,36.0,450,POINT (34.34036428824026 -15.32439588673552)
627.0,0.65339999999999998,36.0,250,POINT (34.33372916194026 -15.32526718127253)
629.0,0.69,36.0,500,POINT (34.32797598982173 -15.32717250919602)
631.0,0.104,36.0,150,POINT (34.35160335163421 -15.33125186678652)
633.0,0.50919999999999999,36.0,1250,POINT (34.35023836043406 -15.33624953706308)
635.0,0.30259999999999998,36.0,375,POINT (34.34897017005587 -15.33892364830896)
639.0,0.36320000000000002,36.0,1500,POINT (34.36424601731696 -15.29877102742576)
642.0,0.34320000000000001,36.0,1250,POINT (34.36411825806048 -15.30349004322289)
645.0,9.8000000000000004E-2,36.0,750,POINT (34.36568318745001 -15.30211563852554)
649.0,0.255,36.0,500,POINT (34.36856632387663 -15.3044028952406)
652.0,0.81,36.0,300,POINT (34.36675545305386 -15.30375414187492)
