Pixel,State,lon,lat,Crop,Fraction,MaizeArea
360,Ribaue,38.28569,-14.941270000000001,Maize,0.03228553,3.228553
361,Ribaue,38.30429,-14.941329999999999,Maize,1.45414052,145.414052
362,Ribaue,38.47166,-14.94178,Maize,0.28215725,28.215725000000003
363,Ribaue,38.50886,-14.94186,Maize,0.06777649,6.777648999999999
364,Ribaue,37.85794,-14.948570000000002,Maize,0.00276809,0.27680899999999997
365,Ribaue,37.86724,-14.948620000000002,Maize,0.01231287,1.231287
366,Ribaue,37.91373,-14.94885,Maize,1.14608031,114.60803100000001
367,Ribaue,37.92302,-14.948889999999999,Maize,1.10419079,110.41907900000001
368,Ribaue,37.94162,-14.948979999999999,Maize,1.32112029,132.112029
369,Ribaue,37.96951,-14.9491,Maize,0.04911241,4.911241
370,Ribaue,38.0253,-14.94935,Maize,0.0,0.0
371,Ribaue,38.0346,-14.94939,Maize,0.00128396,0.128396
372,Ribaue,38.0439,-14.94943,Maize,0.02709453,2.709453
373,Ribaue,38.0532,-14.949470000000002,Maize,0.34265355,34.265355
374,Ribaue,38.08109,-14.94958,Maize,0.82376171,82.376171
375,Ribaue,38.108990000000006,-14.949689999999999,Maize,1.70521484,170.521484
376,Ribaue,38.23917,-14.95016,Maize,0.0,0.0
377,Ribaue,38.248459999999994,-14.95019,Maize,7.143e-05,0.007143
378,Ribaue,38.28566,-14.95031,Maize,0.12741781,12.741781
379,Ribaue,38.30426,-14.950370000000001,Maize,1.12367717,112.36771699999998
380,Ribaue,38.313559999999995,-14.9504,Maize,0.01235431,1.235431
381,Ribaue,38.32285,-14.950420000000001,Maize,1.35523626,135.523626
382,Ribaue,38.34145,-14.950479999999999,Maize,0.04715532,4.715532
383,Ribaue,38.35075,-14.950510000000001,Maize,0.12303592,12.303592
384,Ribaue,38.40655,-14.950660000000001,Maize,1.34191413,134.19141299999998
385,Ribaue,38.43444,-14.950729999999998,Maize,0.09231956,9.231956
386,Ribaue,38.69482,-14.951220000000001,Maize,0.09880868,9.880868
387,Ribaue,38.71342,-14.95125,Maize,0.89058049,89.058049
388,Ribaue,37.88579,-14.95775,Maize,1.0515567,105.15566999999999
389,Ribaue,37.904379999999996,-14.95784,Maize,0.25353927,25.353927
390,Ribaue,37.95087,-14.958060000000001,Maize,0.0,0.0
391,Ribaue,37.96017,-14.9581,Maize,0.0,0.0
392,Ribaue,37.96947,-14.95814,Maize,0.0,0.0
393,Ribaue,38.01596,-14.95835,Maize,0.0,0.0
