Unnamed: 0,State,lon,lat,Crop,Fraction,harv_area,sw_depth,sw_dist,sw_suit,geometry,country,curr_yield,max_yield
19766,Lichinga,35.549479999999996,-13.372670000000001,Maize,0.00018078,0.018078,809.0,21.00963389934392,9999,POINT (126183.9024893525 8519045.832004795),moz,4500,6000
20287,Lichinga,35.20944,-13.304620000000002,Maize,0.00792999,0.792999,1338.0,9.877140244334868,9999,POINT (89183.81029164843 8526046.457691651),moz,4500,6000
14397,Morrumbala,35.80434000000001,-17.26742,Maize,0.00030612,0.030612,146.0,25.773463733858858,9999,POINT (160183.5704039487 8088046.194280242),moz,4500,6000
40729,Maganja_da_Cost,37.80712,-17.24413,Maize,0.20459031,20.459031,11.0,8.190273219919828,9999,POINT (373183.9295348376 8093046.374790218),moz,4500,6000
34999,Cheringoma,34.867740000000005,-18.37777,Maize,0.00960145,0.960145,51.0,12.260262966968474,9999,POINT (63183.56326443137 7963046.226371718),moz,4500,6000
8656,Mecuburi,38.685520000000004,-14.951210000000001,Maize,0.95241894,95.24189399999999,456.0,32.325423106167115,9999,POINT (466183.2492900005 8347046.441789074),moz,4500,6000
17660,Homoine,35.16792,-23.71517,Maize,0.03357443,3.357443,3.0,16.445868735561646,9999,POINT (109183.5223396177 7372045.831677423),moz,4500,6000
33724,Barue,33.20816,-18.33444,Maize,0.52219577,52.219577,534.0,12.014137406886132,9999,POINT (-112816.1619186652 7963045.825014954),moz,4500,6000
31903,Gile,38.52595,-15.61091,Maize,0.16832782,16.832781999999998,357.0,0.7673669845066821,1,POINT (449183.1584951561 8274046.245842841),moz,4500,6000
2118,Malema,36.95643,-14.92421,Maize,1.30114314,130.11431399999998,582.0,6.0324771959831365,9999,POINT (280183.0707517927 8349046.788511862),moz,4500,6000
23511,Alto_Molocue,37.6961,-15.56236,Maize,0.00011297,0.011297,597.0,6.451991058066453,9999,POINT (360183.6810404067 8279046.067072756),moz,4500,6000
34267,Lugela,37.09035,-16.51577,Maize,0.00867074,0.867074,213.0,5.187052685953859,9999,POINT (296184.0532777383 8173045.812845147),moz,4500,6000
21558,Manica,33.30588,-19.07558,Maize,0.95865058,95.86505799999999,577.0,18.229112920586047,9999,POINT (-99816.27800488879 7881046.248463145),moz,4500,6000
39526,Mabote,33.86762,-22.38928,Maize,0.32857336,32.857336,117.0,13.30282051831948,9999,POINT (-28815.96978451184 7515046.082905499),moz,4500,6000
12101,Angonia,34.089909999999996,-14.8446,Maize,0.05331252,5.331252,960.0,7.980694829047293,9999,POINT (-28816.9372511548 8353046.239655076),moz,4500,6000
28821,Mossurize,32.78256,-20.60588,Maize,0.00229972,0.22997199999999998,257.0,8.420407129631824,9999,POINT (-148816.6621756188 7709046.375044205),moz,4500,6000
35595,Nampula,39.07617,-15.13224,Maize,0.14457738,14.457738,282.0,11.138955922467249,9999,POINT (508183.7916677768 8327046.170659678),moz,4500,6000
14129,Morrumbala,35.908879999999996,-17.19683,Maize,0.40382667,40.382667,146.0,17.686857625500046,9999,POINT (171184.0426129033 8096046.196754658),moz,4500,6000
21660,Inharrime,34.58527,-24.42977,Maize,3.55136254,355.136254,13.0,7.317553094026143,9999,POINT (52183.34346871119 7291045.847052264),moz,4500,6000
